"line","rep","enviro","data","exper"
1,1,0,1.863,"4"
1,1,1,1.843,"4"
1,1,8,0.399,"4"
1,1,32,0.349,"4"
1,2,0,1.861,"4"
1,2,1,1.845,"4"
1,2,8,0.436,"4"
1,2,32,0.425,"4"
1,3,0,1.86,"4"
1,3,1,1.863,"4"
1,3,8,0.442,"4"
1,3,32,0.436,"4"
1,4,0,1.855,"4"
1,4,1,1.847,"4"
1,4,8,0.464,"4"
1,4,32,0.426,"4"
1,5,0,1.861,"4"
1,5,1,1.874,"4"
1,5,8,0.441,"4"
1,5,32,0.369,"4"
1,6,0,1.86,"4"
1,6,1,1.878,"4"
1,6,8,0.496,"4"
1,6,32,0.435,"4"
1,7,0,1.861,"4"
1,7,1,1.853,"4"
1,7,8,0.466,"4"
1,7,32,0.333,"4"
1,8,0,1.853,"4"
1,8,1,1.848,"4"
1,8,8,0.422,"4"
1,8,32,0.339,"4"
1,9,0,1.861,"4"
1,9,1,1.856,"4"
1,9,8,0.591,"4"
1,9,32,0.517,"4"
1,10,0,1.825,"4"
1,10,1,1.821,"4"
1,10,8,0.553,"4"
1,10,32,0.5,"4"
1,11,0,1.84,"4"
1,11,1,1.842,"4"
1,11,8,0.494,"4"
1,11,32,0.482,"4"
1,12,0,1.836,"4"
1,12,1,1.815,"4"
1,12,8,0.379,"4"
1,12,32,0.427,"4"
2,1,0,1.902,"4"
2,1,1,1.751,"4"
2,1,8,0.221,"4"
2,1,32,0.201,"4"
2,2,0,1.884,"4"
2,2,1,1.66,"4"
2,2,8,0.268,"4"
2,2,32,0.22,"4"
2,3,0,1.874,"4"
2,3,1,1.664,"4"
2,3,8,0.231,"4"
2,3,32,0.24,"4"
2,4,0,1.868,"4"
2,4,1,1.646,"4"
2,4,8,0.282,"4"
2,4,32,0.189,"4"
2,5,0,1.866,"4"
2,5,1,1.664,"4"
2,5,8,0.257,"4"
2,5,32,0.186,"4"
2,6,0,1.86,"4"
2,6,1,1.57,"4"
2,6,8,0.238,"4"
2,6,32,0.149,"4"
2,7,0,1.843,"4"
2,7,1,1.547,"4"
2,7,8,0.212,"4"
2,7,32,0.154,"4"
2,8,0,1.858,"4"
2,8,1,1.656,"4"
2,8,8,0.247,"4"
2,8,32,0.186,"4"
2,9,0,1.854,"4"
2,9,1,1.343,"4"
2,9,8,0.252,"4"
2,9,32,0.232,"4"
2,10,0,1.834,"4"
2,10,1,1.132,"4"
2,10,8,0.243,"4"
2,10,32,0.226,"4"
2,11,0,1.773,"4"
2,11,1,1.308,"4"
2,11,8,0.244,"4"
2,11,32,0.232,"4"
2,12,0,1.631,"4"
2,12,1,1.281,"4"
2,12,8,0.241,"4"
2,12,32,0.284,"4"
3,1,0,1.9,"4"
3,1,1,0.445,"4"
3,1,8,0.556,"4"
3,1,32,0.465,"4"
3,2,0,1.906,"4"
3,2,1,0.368,"4"
3,2,8,0.436,"4"
3,2,32,0.43,"4"
3,3,0,1.889,"4"
3,3,1,0.45,"4"
3,3,8,0.424,"4"
3,3,32,0.397,"4"
3,4,0,1.876,"4"
3,4,1,0.366,"4"
3,4,8,0.341,"4"
3,4,32,0.359,"4"
3,5,0,1.881,"4"
3,5,1,0.544,"4"
3,5,8,0.484,"4"
3,5,32,0.417,"4"
3,6,0,1.876,"4"
3,6,1,0.594,"4"
3,6,8,0.367,"4"
3,6,32,0.371,"4"
3,7,0,1.854,"4"
3,7,1,0.346,"4"
3,7,8,0.275,"4"
3,7,32,0.327,"4"
3,8,0,1.852,"4"
3,8,1,0.436,"4"
3,8,8,0.296,"4"
3,8,32,0.337,"4"
3,9,0,1.847,"4"
3,9,1,0.38,"4"
3,9,8,0.286,"4"
3,9,32,0.239,"4"
3,10,0,1.792,"4"
3,10,1,0.471,"4"
3,10,8,0.166,"4"
3,10,32,0.19,"4"
3,11,0,1.791,"4"
3,11,1,0.472,"4"
3,11,8,0.257,"4"
3,11,32,0.273,"4"
3,12,0,1.667,"4"
3,12,1,0.279,"4"
3,12,8,0.304,"4"
3,12,32,0.287,"4"
4,1,0,1.919,"4"
4,1,1,0.637,"4"
4,1,8,0.343,"4"
4,1,32,0.14,"4"
4,2,0,1.902,"4"
4,2,1,0.523,"4"
4,2,8,0.151,"4"
4,2,32,0.235,"4"
4,3,0,1.908,"4"
4,3,1,0.642,"4"
4,3,8,0.289,"4"
4,3,32,0.131,"4"
4,4,0,1.899,"4"
4,4,1,0.388,"4"
4,4,8,0.132,"4"
4,4,32,0.239,"4"
4,5,0,1.905,"4"
4,5,1,0.408,"4"
4,5,8,0.132,"4"
4,5,32,0.13,"4"
4,6,0,1.885,"4"
4,6,1,0.143,"4"
4,6,8,0.132,"4"
4,6,32,0.131,"4"
4,7,0,1.862,"4"
4,7,1,0.282,"4"
4,7,8,0.138,"4"
4,7,32,0.128,"4"
4,8,0,1.858,"4"
4,8,1,0.544,"4"
4,8,8,0.13,"4"
4,8,32,0.128,"4"
4,9,0,1.852,"4"
4,9,1,0.477,"4"
4,9,8,0.294,"4"
4,9,32,0.132,"4"
4,10,0,1.796,"4"
4,10,1,0.293,"4"
4,10,8,0.196,"4"
4,10,32,0.133,"4"
4,11,0,1.812,"4"
4,11,1,0.413,"4"
4,11,8,0.209,"4"
4,11,32,0.131,"4"
4,12,0,1.692,"4"
4,12,1,0.197,"4"
4,12,8,0.197,"4"
4,12,32,0.157,"4"
5,1,0,1.893,"4"
5,1,1,1.856,"4"
5,1,8,1.797,"4"
5,1,32,1.771,"4"
5,2,0,1.88,"4"
5,2,1,1.829,"4"
5,2,8,1.769,"4"
5,2,32,1.757,"4"
5,3,0,1.879,"4"
5,3,1,1.823,"4"
5,3,8,1.76,"4"
5,3,32,1.735,"4"
5,4,0,1.88,"4"
5,4,1,1.823,"4"
5,4,8,1.753,"4"
5,4,32,1.744,"4"
5,5,0,1.86,"4"
5,5,1,1.8,"4"
5,5,8,1.726,"4"
5,5,32,1.723,"4"
5,6,0,1.846,"4"
5,6,1,1.795,"4"
5,6,8,1.712,"4"
5,6,32,1.707,"4"
5,7,0,1.837,"4"
5,7,1,1.795,"4"
5,7,8,1.734,"4"
5,7,32,1.69,"4"
5,8,0,1.836,"4"
5,8,1,1.792,"4"
5,8,8,1.717,"4"
5,8,32,1.704,"4"
5,9,0,1.823,"4"
5,9,1,1.788,"4"
5,9,8,1.75,"4"
5,9,32,1.717,"4"
5,10,0,1.739,"4"
5,10,1,1.745,"4"
5,10,8,1.716,"4"
5,10,32,1.731,"4"
5,11,0,1.788,"4"
5,11,1,1.742,"4"
5,11,8,1.738,"4"
5,11,32,1.758,"4"
5,12,0,1.754,"4"
5,12,1,1.741,"4"
5,12,8,1.755,"4"
5,12,32,1.75,"4"
6,1,0,1.893,"4"
6,1,1,1.537,"4"
6,1,8,0.32,"4"
6,1,32,0.392,"4"
6,2,0,1.853,"4"
6,2,1,1.211,"4"
6,2,8,0.386,"4"
6,2,32,0.397,"4"
6,3,0,1.846,"4"
6,3,1,1.544,"4"
6,3,8,0.362,"4"
6,3,32,0.372,"4"
6,4,0,1.898,"4"
6,4,1,1.785,"4"
6,4,8,0.319,"4"
6,4,32,0.369,"4"
6,5,0,1.855,"4"
6,5,1,1.151,"4"
6,5,8,0.32,"4"
6,5,32,0.349,"4"
6,6,0,1.856,"4"
6,6,1,1.738,"4"
6,6,8,0.32,"4"
6,6,32,0.343,"4"
6,7,0,1.856,"4"
6,7,1,1.617,"4"
6,7,8,0.375,"4"
6,7,32,0.386,"4"
6,8,0,1.872,"4"
6,8,1,1.737,"4"
6,8,8,0.306,"4"
6,8,32,0.362,"4"
6,9,0,1.849,"4"
6,9,1,1.756,"4"
6,9,8,0.33,"4"
6,9,32,0.372,"4"
6,10,0,1.822,"4"
6,10,1,1.746,"4"
6,10,8,0.308,"4"
6,10,32,0.361,"4"
6,11,0,1.835,"4"
6,11,1,1.729,"4"
6,11,8,0.372,"4"
6,11,32,0.408,"4"
6,12,0,1.818,"4"
6,12,1,0.608,"4"
6,12,8,0.426,"4"
6,12,32,0.379,"4"
7,1,0,1.866,"4"
7,1,1,1.465,"4"
7,1,8,0.513,"4"
7,1,32,0.275,"4"
