"line","rep","enviro","dataM","exper"
1,1,0,1.808,"4"
1,1,1,1.8,"4"
1,1,8,0.174,"4"
1,1,32,0.166,"4"
1,2,0,1.744,"4"
1,2,1,1.742,"4"
1,2,8,0.156,"4"
1,2,32,0.15,"4"
1,3,0,1.801,"4"
1,3,1,1.801,"4"
1,3,8,0.199,"4"
1,3,32,0.17,"4"
1,4,0,1.782,"4"
1,4,1,1.742,"4"
1,4,8,0.166,"4"
1,4,32,0.148,"4"
1,5,0,1.755,"4"
1,5,1,1.738,"4"
1,5,8,0.17,"4"
1,5,32,0.145,"4"
1,6,0,1.724,"4"
1,6,1,1.676,"4"
1,6,8,0.184,"4"
1,6,32,0.175,"4"
1,7,0,1.723,"4"
1,7,1,1.728,"4"
1,7,8,0.205,"4"
1,7,32,0.163,"4"
1,8,0,1.807,"4"
1,8,1,1.772,"4"
1,8,8,0.178,"4"
1,8,32,0.171,"4"
1,9,0,1.719,"4"
1,9,1,1.702,"4"
1,9,8,0.169,"4"
1,9,32,0.169,"4"
1,10,0,1.719,"4"
1,10,1,1.698,"4"
1,10,8,0.195,"4"
1,10,32,0.188,"4"
1,11,0,1.76,"4"
1,11,1,1.783,"4"
1,11,8,0.18,"4"
1,11,32,0.165,"4"
1,12,0,1.638,"4"
1,12,1,1.75,"4"
1,12,8,0.186,"4"
1,12,32,0.178,"4"
2,1,0,1.682,"4"
2,1,1,0.617,"4"
2,1,8,0.153,"4"
2,1,32,0.145,"4"
2,2,0,0.797,"4"
2,2,1,0.245,"4"
2,2,8,0.137,"4"
2,2,32,0.133,"4"
2,3,0,1.445,"4"
2,3,1,1.501,"4"
2,3,8,0.141,"4"
2,3,32,0.135,"4"
2,4,0,1.322,"4"
2,4,1,1.417,"4"
2,4,8,0.14,"4"
2,4,32,0.14,"4"
2,5,0,1.473,"4"
2,5,1,0.357,"4"
2,5,8,0.131,"4"
2,5,32,0.129,"4"
2,6,0,1.043,"4"
2,6,1,0.651,"4"
2,6,8,0.137,"4"
2,6,32,0.136,"4"
2,7,0,0.469,"4"
2,7,1,0.45,"4"
2,7,8,0.135,"4"
2,7,32,0.129,"4"
2,8,0,1.062,"4"
2,8,1,0.641,"4"
2,8,8,0.15,"4"
2,8,32,0.144,"4"
2,9,0,1.4,"4"
2,9,1,1.245,"4"
2,9,8,0.144,"4"
2,9,32,0.133,"4"
2,10,0,0.225,"4"
2,10,1,0.255,"4"
2,10,8,0.134,"4"
2,10,32,0.13,"4"
2,11,0,0.594,"4"
2,11,1,0.907,"4"
2,11,8,0.132,"4"
2,11,32,0.13,"4"
2,12,0,0.304,"4"
2,12,1,0.275,"4"
2,12,8,0.141,"4"
2,12,32,0.144,"4"
3,1,0,1.503,"4"
3,1,1,0.521,"4"
