"line","rep","enviro","data","sd","se"
1,1,0,1.52775,0.224749304782017,0.129759071616079
1,1,0.5,1.583,NA,NA
1,1,1,1.709,0.128693434175952,0.128693434175952
1,1,4,1.274,NA,NA
1,1,8,0.09825,0.107126677349762,0.107126677349762
1,1,32,0.0678333333333333,0.085097493108395,0.0601730144389216
1,1,128,0.01425,0.00106066017177982,0.00106066017177982
1,1,512,0.0135,NA,NA
1,2,0,1.17425,0.557266169198645,0.32173777279711
1,2,0.5,1.557,NA,NA
1,2,1,1.6555,0.122329473145273,0.122329473145273
1,2,4,1.235,NA,NA
1,2,8,0.087,0.0975807358037436,0.0975807358037436
1,2,32,0.0591666666666667,0.0787786984744819,0.0557049519043565
1,2,128,0.013,0.00494974746830583,0.00494974746830583
1,2,512,0.0165,NA,NA
1,3,0,1.2165,0.51413633081768,0.296836748997754
1,3,0.5,1.492,NA,NA
1,3,1,1.672,0.182433549546129,0.182433549546129
1,3,4,1.062,NA,NA
1,3,8,0.10575,0.131875414691291,0.131875414691291
1,3,32,0.0635,0.0922591458880907,0.0652370676839479
1,3,128,0.00875000000000001,0.00106066017177982,0.00106066017177982
1,3,512,0.00950000000000001,NA,NA
1,4,0,1.482,0.255563103753261,0.147549426746881
1,4,0.5,1.561,NA,NA
1,4,1,1.6815,0.0855599205235723,0.0855599205235723
1,4,4,1.151,NA,NA
1,4,8,0.0925,0.103944696834422,0.103944696834422
1,4,32,0.0581666666666667,0.0780101489123904,0.0551615052973237
1,4,128,0.0095,0.00282842712474618,0.00282842712474618
1,4,512,0.0115,NA,NA
1,5,0,1.2915,0.396778275614984,0.229080044234906
1,5,0.5,1.499,NA,NA
1,5,1,1.6405,0.137885822331377,0.137885822331377
1,5,4,1.063,NA,NA
1,5,8,0.09225,0.109955104474508,0.109955104474508
1,5,32,0.0555,0.0775999355669836,0.0548714406590532
1,5,128,0.01,0.00424264068711928,0.00424264068711928
1,5,512,0.013,NA,NA
1,6,0,1.411,0.263404631698078,0.152076735016679
1,6,0.5,1.53,NA,NA
1,6,1,1.619,0.0806101730552663,0.0806101730552663
1,6,4,1.223,NA,NA
1,6,8,0.1015,0.11667261889578,0.11667261889578
1,6,32,0.0668333333333333,0.0938833496064842,0.0663855531472523
1,6,128,0.009,0.00353553390593273,0.00353553390593273
1,6,512,0.0115,NA,NA
1,7,0,1.384,0.277201190473634,0.160042181939637
1,7,0.5,1.475,NA,NA
1,7,1,1.635,0.131521861300698,0.131521861300698
1,7,4,0.996,NA,NA
1,7,8,0.1095,0.135057395206631,0.135057395206631
1,7,32,0.0613333333333333,0.088115454565776,0.0623070354507953
1,7,128,0.0085,0.00212132034355964,0.00212132034355964
1,7,512,0.01,NA,NA
1,8,0,1.44975,0.299293752022992,0.172797328297247
1,8,0.5,1.525,NA,NA
1,8,1,1.692,0.113137084989848,0.113137084989848
1,8,4,1.028,NA,NA
1,8,8,0.097,0.114551298552221,0.114551298552221
1,8,32,0.0641666666666667,0.092669214593269,0.0655270300461319
1,8,128,0.00825,0.00388908729652601,0.00388908729652601
1,8,512,0.011,NA,NA
1,9,0,1.04825,0.663039026000733,0.38280576014475
1,9,0.5,1.514,NA,NA
1,9,1,1.6495,0.0742462120245875,0.0742462120245875
1,9,4,1.029,NA,NA
1,9,8,0.0875,0.115258405333407,0.115258405333407
1,9,32,0.06,0.0943980932010811,0.0667495318335642
1,9,128,0.007,0.0028284271247462,0.0028284271247462
1,9,512,0.00900000000000001,NA,NA
1,10,0,1.36375,0.318261292022766,0.183748242621982
1,10,0.5,1.561,NA,NA
1,10,1,1.644,0.076367532368147,0.076367532368147
1,10,4,0.953,NA,NA
1,10,8,0.106,0.125865007051205,0.125865007051205
1,10,32,0.0703333333333333,0.102050641023628,0.0721607002922413
1,10,128,0.00775000000000001,0.00247487373415292,0.00247487373415292
1,10,512,0.00950000000000001,NA,NA
1,11,0,0.99775,0.754822440489594,0.435796939207037
1,11,0.5,1.548,NA,NA
1,11,1,1.692,0.128693434175952,0.128693434175952
1,11,4,0.979,NA,NA
1,11,8,0.09675,0.11773327906756,0.11773327906756
