"line","enviro","data","sd","se"
1,0,1.77180555555556,0.0970815212038792,0.0686470019711686
1,0.5,1.76183333333333,NA,NA
1,1,1.825875,0.0555668078882429,0.0555668078882429
1,4,1.67041666666667,NA,NA
1,8,0.425354166666667,0.100733253536534,0.100733253536534
1,32,0.379145833333333,0.219468267210775,0.219468267210775
1,128,0.299958333333333,NA,NA
2,0,1.72438888888889,0.0788568205556637,0.0557601925577205
2,0.5,1.70041666666667,NA,NA
2,1,1.7085,0.0267522065548909,0.0267522065548909
2,4,0.253833333333333,NA,NA
2,8,0.1039375,0.0982583798023807,0.0982583798023807
2,32,0.0926875,0.10037970014594,0.10037970014594
2,128,0.041625,NA,NA
3,0,1.73244444444444,0.0995835192931783,0.0704161817866278
3,0.5,1.33191666666667,NA,NA
3,1,1.35958333333333,0.0704749758582593,0.0704749758582593
3,4,1.21691666666667,NA,NA
3,8,1.26479166666667,0.163164889758796,0.163164889758796
3,32,1.2160625,0.137679582853531,0.137679582853531
3,128,1.071625,NA,NA
4,0,1.77790277777778,0.0884429384206647,0.0625386015053162
4,0.5,1.76841666666667,NA,NA
4,1,1.794875,0.0589844906639779,0.0589844906639779
4,4,0.644916666666667,NA,NA
4,8,0.385541666666667,0.00453726851261365,0.00453726851261365
4,32,0.3616875,0.0171178766612243,0.0171178766612243
4,128,0.383125,NA,NA
5,0,1.73877777777778,0.0996461215353466,0.0704604482565824
5,0.5,1.67933333333333,NA,NA
5,1,1.724625,0.101882302055962,0.101882302055962
5,4,1.58183333333333,NA,NA
5,8,1.64610416666667,0.189828707966039,0.189828707966039
5,32,1.62485416666667,0.189357303445248,0.189357303445248
5,128,1.4865,NA,NA
6,0,1.73105555555556,0.0846236083642892,0.0598379273228635
6,0.5,1.71991666666667,NA,NA
6,1,1.78295833333333,0.0534454875446834,0.0534454875446834
6,4,0.650916666666667,NA,NA
6,8,0.342520833333333,0.0231872098664089,0.0231872098664089
6,32,0.294541666666667,0.0904507424267792,0.0904507424267792
6,128,0.388708333333333,NA,NA
7,0,1.72036111111111,0.0989777729444194,0.0699878544357414
7,0.5,1.69333333333333,NA,NA
7,1,1.74345833333333,0.0163223815323893,0.0163223815323893
7,4,0.968333333333333,NA,NA
7,8,0.6825625,0.00574524259714073,0.00574524259714073
7,32,0.4655,0.086149176174561,0.086149176174561
7,128,0.4515,NA,NA
8,0,1.74518055555556,0.0636590627730894,0.0450137549708316
8,0.5,1.70033333333333,NA,NA
8,1,1.763,0.0239237794301447,0.0239237794301447
8,4,1.10125,NA,NA
8,8,0.311604166666667,0.128192566872611,0.128192566872611
8,32,0.292791666666667,0.165521912362751,0.165521912362751
8,128,0.23225,NA,NA
9,0,1.72891666666667,0.0727720470602094,0.0514576079571006
9,1,1.43472916666667,0.219939671731566,0.219939671731566
9,4,0.453333333333333,NA,NA
9,8,0.3575625,0.178456073901955,0.178456073901955
9,32,0.239041666666667,0.0789013316673989,0.0789013316673989
9,128,0.205333333333333,NA,NA
10,0,1.71059722222222,0.093368039802073,0.0660211740901413
10,1,1.63883333333333,0.151792255694712,0.151792255694712
10,4,1.009,NA,NA
10,8,1.21995833333333,0.221147645816093,0.221147645816093
10,32,1.151375,0.231518545273495,0.231518545273495
10,128,0.994083333333333,NA,NA
11,0,1.74706944444444,0.0845948917937282,0.0598176216410874
11,1,1.3735,0.0317019540231968,0.0317019540231968
11,4,1.12708333333333,NA,NA
11,8,0.952354166666667,0.10462234083306,0.10462234083306
11,32,0.915291666666667,0.131227233475204,0.131227233475204
11,128,0.762625,NA,NA
12,0,1.66043055555556,0.089667192661613,0.0634042799809872
12,1,1.69977083333333,0.0709169175965008,0.0709169175965008
12,4,1.63266666666667,NA,NA
12,8,1.6671875,0.104033085182071,0.104033085182071
12,32,1.64439583333333,0.111752334210024,0.111752334210024
12,128,0.519916666666667,NA,NA
13,0,1.59784722222222,0.0652057418725387,0.0461074222503717
13,1,1.57560416666667,0.00220970869120784,0.00220970869120784
13,4,0.417166666666667,NA,NA
13,8,0.4526875,0.227894623019914,0.227894623019914
13,32,0.389458333333333,0.143012346494979,0.143012346494979
13,128,0.298125,NA,NA
14,0,1.69994444444444,0.0596634271311751,0.0421884139132834
14,1,1.5105,0.15084944665313,0.15084944665313
14,4,0.372083333333333,NA,NA
14,8,0.467083333333333,0.176894546426835,0.176894546426835
14,32,0.379520833333333,0.164844268364114,0.164844268364114
14,128,0.249541666666667,NA,NA
15,0,1.48551388888889,0.0533224978142261,0.0377046997942441
15,1,1.47477083333333,0.0938389624199648,0.0938389624199648
15,4,0.535583333333333,NA,NA
15,8,0.345375,0.065230600564459,0.065230600564459
15,32,0.340458333333333,0.0499099536387505,0.0499099536387505
15,128,0.379541666666667,NA,NA
16,0,1.695375,0.0856499760815948,0.0605636788957613
16,1,1.72545833333333,0.0448423550402467,0.0448423550402467
16,4,0.484583333333333,NA,NA
16,8,0.535854166666667,0.255589638616387,0.255589638616387
16,32,0.401770833333333,0.229544538842683,0.229544538842683
16,128,0.28125,NA,NA
17,0,1.57644444444444,0.0534639892651882,0.0378047493586993
17,1,1.49045833333333,0.0937505740723165,0.0937505740723165
17,4,0.49,NA,NA
17,8,0.388604166666667,0.209627697839262,0.209627697839262
17,32,0.368979166666667,0.159482041940116,0.159482041940116
17,128,0.280625,NA,NA
18,0,1.71475,0.0818581089446855,0.0578824239298943
18,1,1.76075,0.0626968012652072,0.0626968012652072
18,4,1.67366666666667,NA,NA
18,8,1.29039583333333,0.265783761378494,0.265783761378494
18,32,0.7719375,0.178220371641559,0.178220371641559
18,128,0.913958333333333,NA,NA
19,0,1.66734722222222,0.19252216833634,0.136133730759364
19,1,1.76710416666667,0.0761023673252022,0.0761023673252022
19,4,1.16275,NA,NA
19,8,0.60475,0.37111320899274,0.37111320899274
19,32,0.600916666666667,0.52985868136912,0.52985868136912
19,128,0.2465,NA,NA
20,0,1.71691666666667,0.0865786411946452,0.0612203442946506
20,1,1.7400625,0.0490555329448167,0.0490555329448167
20,4,0.824583333333333,NA,NA
20,8,0.779375,0.178131983293911,0.178131983293911
20,32,0.693583333333333,0.128222029655161,0.128222029655161
20,128,0.661583333333333,NA,NA
