"line","enviro","rep","gen","data","time"
"1",0,1,"t0d",1.5595,24
"1",0,2,"t0d",1.519,24
"1",0,3,"t0d",1.479,24
"1",0,4,"t0d",1.52,24
"1",0,5,"t0d",1.4245,24
"1",0,6,"t0d",1.4695,24
"1",0,7,"t0d",1.4945,24
"1",0,8,"t0d",1.5185,24
"1",0,9,"t0d",1.496,24
"1",0,10,"t0d",1.4955,24
"1",0,11,"t0d",1.4525,24
"1",0,12,"t0d",1.5145,24
"1",1,1,"t0d",1.5825,24
"1",1,2,"t0d",1.5405,24
"1",1,3,"t0d",1.4985,24
"1",1,4,"t0d",1.5345,24
"1",1,5,"t0d",1.47,24
"1",1,6,"t0d",1.4935,24
"1",1,7,"t0d",1.5115,24
"1",1,8,"t0d",1.53,24
"1",1,9,"t0d",1.5485,24
"1",1,10,"t0d",1.5325,24
"1",1,11,"t0d",1.4775,24
"1",1,12,"t0d",1.5235,24
"1",128,1,"t0d",0.117,24
"1",128,2,"t0d",0.138,24
"1",128,3,"t0d",0.093,24
"1",128,4,"t0d",0.083,24
"1",128,5,"t0d",0.068,24
"1",128,6,"t0d",0.0765,24
"1",128,7,"t0d",0.101,24
"1",128,8,"t0d",0.077,24
"1",128,9,"t0d",0.116,24
"1",128,10,"t0d",0.132,24
"1",128,11,"t0d",0.072,24
"1",128,12,"t0d",0.0825,24
"1",512,1,"t0d",1.559,24
"1",512,2,"t0d",1.5205,24
"1",512,3,"t0d",1.468,24
"1",512,4,"t0d",1.5,24
"1",512,5,"t0d",1.374,24
"1",512,6,"t0d",1.448,24
"1",512,7,"t0d",1.4095,24
"1",512,8,"t0d",1.4235,24
"1",512,9,"t0d",1.4755,24
"1",512,10,"t0d",1.4335,24
"1",512,11,"t0d",1.366,24
"1",512,12,"t0d",1.4205,24
"2",0,1,"t0d",1.587,24
"2",0,2,"t0d",1.579,24
"2",0,3,"t0d",1.565,24
"2",0,4,"t0d",1.5585,24
"2",0,5,"t0d",1.5035,24
"2",0,6,"t0d",1.5655,24
"2",0,7,"t0d",1.549,24
"2",0,8,"t0d",1.5535,24
"2",0,9,"t0d",1.5925,24
"2",0,10,"t0d",1.4195,24
"2",0,11,"t0d",1.469,24
"2",0,12,"t0d",1.37,24
"2",1,1,"t0d",1.1235,24
"2",1,2,"t0d",1.372,24
"2",1,3,"t0d",1.298,24
"2",1,4,"t0d",1.15,24
"2",1,5,"t0d",1.09,24
"2",1,6,"t0d",1.297,24
"2",1,7,"t0d",1.253,24
"2",1,8,"t0d",1.155,24
"2",1,9,"t0d",1.4525,24
"2",1,10,"t0d",0.8995,24
"2",1,11,"t0d",0.931,24
"2",1,12,"t0d",1.0425,24
"2",128,1,"t0d",0.111,24
"2",128,2,"t0d",0.2225,24
"2",128,3,"t0d",0.206,24
"2",128,4,"t0d",0.1095,24
"2",128,5,"t0d",0.1065,24
"2",128,6,"t0d",0.2525,24
"2",128,7,"t0d",0.1875,24
"2",128,8,"t0d",0.1185,24
"2",128,9,"t0d",0.393,24
"2",128,10,"t0d",0.07,24
"2",128,11,"t0d",0.0525,24
"2",128,12,"t0d",0.029,24
"2",512,1,"t0d",1.1525,24
"2",512,2,"t0d",1.4105,24
"2",512,3,"t0d",1.3935,24
"2",512,4,"t0d",1.162,24
"2",512,5,"t0d",1.225,24
"2",512,6,"t0d",1.3665,24
"2",512,7,"t0d",1.3015,24
"2",512,8,"t0d",1.217,24
"2",512,9,"t0d",1.423,24
"2",512,10,"t0d",0.8895,24
"2",512,11,"t0d",1.0145,24
"2",512,12,"t0d",0.744,24
"3",0,1,"t0d",1.5695,24
"3",0,2,"t0d",1.4985,24
"3",0,3,"t0d",1.522,24
"3",0,4,"t0d",1.5725,24
"3",0,5,"t0d",1.5115,24
"3",0,6,"t0d",1.531,24
"3",0,7,"t0d",1.5445,24
"3",0,8,"t0d",1.5605,24
"3",0,9,"t0d",1.494,24
"3",0,10,"t0d",1.4665,24
"3",0,11,"t0d",1.461,24
"3",0,12,"t0d",1.471,24
"3",1,1,"t0d",0.226,24
"3",1,2,"t0d",0.085,24
"3",1,3,"t0d",0.1715,24
"3",1,4,"t0d",0.5555,24
"3",1,5,"t0d",0.109,24
"3",1,6,"t0d",0.321,24
"3",1,7,"t0d",0.3955,24
"3",1,8,"t0d",0.3655,24
"3",1,9,"t0d",0.1145,24
"3",1,10,"t0d",0.0855,24
"3",1,11,"t0d",0.054,24
"3",1,12,"t0d",0.0635,24
"3",128,1,"t0d",0.249,24
"3",128,2,"t0d",0.148,24
"3",128,3,"t0d",0.223,24
"3",128,4,"t0d",0.4755,24
"3",128,5,"t0d",0.1285,24
"3",128,6,"t0d",0.3425,24
"3",128,7,"t0d",0.4065,24
"3",128,8,"t0d",0.3865,24
"3",128,9,"t0d",0.1875,24
"3",128,10,"t0d",0.1335,24
"3",128,11,"t0d",0.0965,24
"3",128,12,"t0d",0.0965,24
"3",512,1,"t0d",0.785,24
"3",512,2,"t0d",0.885,24
"3",512,3,"t0d",0.8045,24
"3",512,4,"t0d",1.1325,24
"3",512,5,"t0d",0.8935,24
"3",512,6,"t0d",0.8195,24
"3",512,7,"t0d",1.041,24
"3",512,8,"t0d",1.031,24
"3",512,9,"t0d",0.865,24
"3",512,10,"t0d",0.7865,24
"3",512,11,"t0d",0.4765,24
"3",512,12,"t0d",0.353,24
"4",0,1,"t0d",1.4815,24
"4",0,2,"t0d",1.478,24
"4",0,3,"t0d",1.523,24
"4",0,4,"t0d",1.523,24
"4",0,5,"t0d",1.493,24
"4",0,6,"t0d",1.45,24
"4",0,7,"t0d",1.4545,24
"4",0,8,"t0d",1.496,24
"4",0,9,"t0d",1.5285,24
"4",0,10,"t0d",1.4315,24
"4",0,11,"t0d",1.4925,24
"4",0,12,"t0d",1.555,24
"4",1,1,"t0d",0.275,24
"4",1,2,"t0d",0.3005,24
"4",1,3,"t0d",0.4285,24
"4",1,4,"t0d",0.33,24
"4",1,5,"t0d",0.3175,24
"4",1,6,"t0d",0.1595,24
"4",1,7,"t0d",0.246,24
"4",1,8,"t0d",0.261,24
"4",1,9,"t0d",0.503,24
"4",1,10,"t0d",0.2585,24
"4",1,11,"t0d",0.261,24
"4",1,12,"t0d",0.542,24
"4",128,1,"t0d",0.0305,24
"4",128,2,"t0d",0.043,24
"4",128,3,"t0d",0.068,24
"4",128,4,"t0d",0.062,24
"4",128,5,"t0d",0.063,24
"4",128,6,"t0d",0.0335,24
"4",128,7,"t0d",0.073,24
"4",128,8,"t0d",0.0585,24
"4",128,9,"t0d",0.318,24
"4",128,10,"t0d",0.0415,24
"4",128,11,"t0d",0.05,24
"4",128,12,"t0d",0.36,24
"4",512,1,"t0d",1.044,24
"4",512,2,"t0d",0.837,24
"4",512,3,"t0d",0.6215,24
"4",512,4,"t0d",0.9685,24
"4",512,5,"t0d",0.895,24
"4",512,6,"t0d",0.7565,24
"4",512,7,"t0d",0.82,24
"4",512,8,"t0d",0.843,24
"4",512,9,"t0d",0.952,24
"4",512,10,"t0d",0.8,24
"4",512,11,"t0d",0.752,24
"4",512,12,"t0d",0.9345,24
"5",0,1,"t0d",1.5,24
"5",0,2,"t0d",1.5095,24
"5",0,3,"t0d",1.5195,24
"5",0,4,"t0d",1.534,24
"5",0,5,"t0d",1.5115,24
"5",0,6,"t0d",1.49,24
"5",0,7,"t0d",1.4975,24
"5",0,8,"t0d",1.467,24
"5",0,9,"t0d",1.477,24
"5",0,10,"t0d",1.332,24
"5",0,11,"t0d",1.501,24
"5",0,12,"t0d",1.517,24
"5",1,1,"t0d",1.388,24
"5",1,2,"t0d",1.4075,24
"5",1,3,"t0d",1.4155,24
"5",1,4,"t0d",1.405,24
"5",1,5,"t0d",1.342,24
"5",1,6,"t0d",1.301,24
"5",1,7,"t0d",1.329,24
"5",1,8,"t0d",1.251,24
