line,gen,enviro,Time,OD.24,OD.48,OD.72
A01,MA4_t0,1,24,2.078,2.07,
A01,MA4_t0,1,24,2.057,2.051,
A01,MA4_t0,1,24,2.07,2.069,
A01,MA4_t0,1,24,2.077,2.071,
A01,MA4_t0,1,24,2.04,2.033,
A01,MA4_t0,1,24,2.072,2.066,
A01,MA4_t0,1,24,2.056,2.07,
A01,MA4_t0,1,24,2.072,2.075,
A01,MA4_t0,1,24,1.979,2.058,
A01,MA4_t0,1,24,2.066,2.062,
A01,MA4_t0,1,24,2.068,2.064,
A01,MA4_t0,1,24,2.048,2.046,
A02,MA4_t0,1,24,1.272,1.885,
A02,MA4_t0,1,24,1.063,1.456,
A02,MA4_t0,1,24,0.942,1.376,
A02,MA4_t0,1,24,0.978,1.328,
A02,MA4_t0,1,24,0.912,1.296,
A02,MA4_t0,1,24,0.791,1.106,
A02,MA4_t0,1,24,0.843,1.667,
A02,MA4_t0,1,24,0.681,1.065,
A02,MA4_t0,1,24,0.983,1.323,
A02,MA4_t0,1,24,0.967,1.345,
A02,MA4_t0,1,24,1.165,1.505,
A02,MA4_t0,1,24,1.343,1.575,
A03,MA4_t0,1,24,0.535,1.73,
A03,MA4_t0,1,24,0.411,0.564,
A03,MA4_t0,1,24,0.416,0.489,
A03,MA4_t0,1,24,0.457,1.929,
A03,MA4_t0,1,24,0.495,1.92,
A03,MA4_t0,1,24,0.39,0.527,
A03,MA4_t0,1,24,0.427,0.601,
A03,MA4_t0,1,24,0.29,1.713,
A03,MA4_t0,1,24,0.259,0.335,
A03,MA4_t0,1,24,0.137,0.247,
A03,MA4_t0,1,24,0.412,0.569,
A03,MA4_t0,1,24,0.457,0.587,
A04,MA4_t0,1,24,1.39,1.98,
A04,MA4_t0,1,24,0.963,1.264,
A04,MA4_t0,1,24,1.014,1.293,
A04,MA4_t0,1,24,1.793,2.02,
A04,MA4_t0,1,24,1.361,2.024,
A04,MA4_t0,1,24,1.041,1.36,
A04,MA4_t0,1,24,0.683,0.977,
A04,MA4_t0,1,24,0.959,1.292,
A04,MA4_t0,1,24,0.749,1.06,
A04,MA4_t0,1,24,1.505,2.035,
A04,MA4_t0,1,24,1.027,1.363,
A04,MA4_t0,1,24,1.303,1.553,
A05,MA4_t0,1,24,1.88,1.971,
A05,MA4_t0,1,24,1.781,1.93,
A05,MA4_t0,1,24,1.828,1.936,
A05,MA4_t0,1,24,1.834,1.952,
A05,MA4_t0,1,24,1.823,1.94,
A05,MA4_t0,1,24,1.778,1.931,
A05,MA4_t0,1,24,1.771,1.924,
A05,MA4_t0,1,24,2.287,2.563,
A05,MA4_t0,1,24,1.782,1.914,
A05,MA4_t0,1,24,1.765,1.921,
A05,MA4_t0,1,24,1.785,1.93,
A05,MA4_t0,1,24,1.785,1.919,
A06,MA4_t0,1,24,1.786,1.936,
A06,MA4_t0,1,24,1.661,1.793,
A06,MA4_t0,1,24,1.753,1.843,
A06,MA4_t0,1,24,1.718,1.814,
A06,MA4_t0,1,24,1.552,1.742,
A06,MA4_t0,1,24,1.647,1.779,
A06,MA4_t0,1,24,1.305,1.634,
A06,MA4_t0,1,24,0.92,2.055,
A06,MA4_t0,1,24,1.808,1.895,
A06,MA4_t0,1,24,1.616,1.76,
A06,MA4_t0,1,24,1.529,1.734,
A06,MA4_t0,1,24,1.518,2.009,
A07,MA4_t0,1,24,1.385,1.635,
A07,MA4_t0,1,24,1.594,1.791,
A07,MA4_t0,1,24,1.452,1.722,
A07,MA4_t0,1,24,0.897,1.324,
A07,MA4_t0,1,24,1.628,1.812,
A07,MA4_t0,1,24,1.538,1.776,
A07,MA4_t0,1,24,1.361,1.662,
A07,MA4_t0,1,24,1.153,1.583,
A07,MA4_t0,1,24,1.446,1.714,
A07,MA4_t0,1,24,1.617,1.858,
A07,MA4_t0,1,24,1.513,1.75,
A07,MA4_t0,1,24,1.507,1.812,
A08,MA4_t0,1,24,1.49,1.755,
A08,MA4_t0,1,24,1.382,1.74,
A08,MA4_t0,1,24,0.375,0.608,
A08,MA4_t0,1,24,1.405,1.754,
A08,MA4_t0,1,24,1.267,1.74,
A08,MA4_t0,1,24,1.382,1.733,
A08,MA4_t0,1,24,0.933,1.569,
