
 "line","enviro","col","gen","data"
1,0,1,"t0",1.803
1,0,2,"t0",1.746
1,0,3,"t0",1.771
1,0,4,"t0",1.776
1,0,5,"t0",1.762
1,0,6,"t0",1.617
1,0,7,"t0",1.515
1,0,8,"t0",1.704
1,0,9,"t0",1.597
1,0,10,"t0",1.624
1,0,11,"t0",1.685
1,0,12,"t0",1.679
1,1,1,"t0",1.788
1,1,2,"t0",1.753
1,1,3,"t0",1.769
1,1,4,"t0",1.755
1,1,5,"t0",1.718
1,1,6,"t0",1.503
1,1,7,"t0",1.494
1,1,8,"t0",1.65
1,1,9,"t0",1.652
1,1,10,"t0",1.64
1,1,11,"t0",1.726
1,1,12,"t0",1.741
1,8,1,"t0",0.263
1,8,2,"t0",0.242
1,8,3,"t0",0.249
1,8,4,"t0",0.268
1,8,5,"t0",0.251
1,8,6,"t0",0.259
1,8,7,"t0",0.253
1,8,8,"t0",0.237
1,8,9,"t0",0.232
1,8,10,"t0",0.241
1,8,11,"t0",0.248
1,8,12,"t0",0.205
1,32,1,"t0",0.147
1,32,2,"t0",0.137
1,32,3,"t0",0.136
1,32,4,"t0",0.146
1,32,5,"t0",0.126
1,32,6,"t0",0.14
1,32,7,"t0",0.124
1,32,8,"t0",0.127
1,32,9,"t0",0.144
1,32,10,"t0",0.151
1,32,11,"t0",0.165
1,32,12,"t0",0.173
2,0,1,"t0",1.792
2,0,2,"t0",1.793
2,0,3,"t0",1.823
2,0,4,"t0",1.705
2,0,5,"t0",1.739
2,0,6,"t0",1.722
2,0,7,"t0",1.665
2,0,8,"t0",1.625
2,0,9,"t0",1.608
2,0,10,"t0",1.597
2,0,11,"t0",1.166
2,0,12,"t0",0.873
2,1,1,"t0",1.633
2,1,2,"t0",1.418
2,1,3,"t0",1.434
2,1,4,"t0",1.347
2,1,5,"t0",1.393
2,1,6,"t0",1.196
2,1,7,"t0",1.276
2,1,8,"t0",1.417
2,1,9,"t0",0.951
2,1,10,"t0",0.775
2,1,11,"t0",0.889
2,1,12,"t0",0.973
2,8,1,"t0",0.141
2,8,2,"t0",0.164
2,8,3,"t0",0.169
2,8,4,"t0",0.151
2,8,5,"t0",0.142
2,8,6,"t0",0.141
2,8,7,"t0",0.134
2,8,8,"t0",0.136
2,8,9,"t0",0.147
2,8,10,"t0",0.145
2,8,11,"t0",0.142
2,8,12,"t0",0.168
2,32,1,"t0",0.142
2,32,2,"t0",0.15
2,32,3,"t0",0.139
2,32,4,"t0",0.133
2,32,5,"t0",0.137
2,32,6,"t0",0.132
2,32,7,"t0",0.125
2,32,8,"t0",0.128
2,32,9,"t0",0.143
2,32,10,"t0",0.141
2,32,11,"t0",0.144
2,32,12,"t0",0.158
3,0,1,"t0",1.72
3,0,2,"t0",1.693
3,0,3,"t0",1.731
3,0,4,"t0",1.558
3,0,5,"t0",1.604
3,0,6,"t0",1.491
3,0,7,"t0",1.399
3,0,8,"t0",1.48
3,0,9,"t0",1.269
3,0,10,"t0",1.166
3,0,11,"t0",1.149
3,0,12,"t0",0.935
3,1,1,"t0",0.163
3,1,2,"t0",0.159
3,1,3,"t0",0.148
3,1,4,"t0",0.149
3,1,5,"t0",0.148
3,1,6,"t0",0.153
3,1,7,"t0",0.143
3,1,8,"t0",0.146
3,1,9,"t0",0.165
3,1,10,"t0",0.151
3,1,11,"t0",0.156
3,1,12,"t0",0.146
3,8,1,"t0",0.162
3,8,2,"t0",0.144
3,8,3,"t0",0.139
3,8,4,"t0",0.142
3,8,5,"t0",0.137
3,8,6,"t0",0.144
3,8,7,"t0",0.143
3,8,8,"t0",0.137
3,8,9,"t0",0.147
3,8,10,"t0",0.137
3,8,11,"t0",0.137
3,8,12,"t0",0.138
3,32,1,"t0",0.16
3,32,2,"t0",0.143
3,32,3,"t0",0.134
3,32,4,"t0",0.136
3,32,5,"t0",0.129
3,32,6,"t0",0.138
3,32,7,"t0",0.134
3,32,8,"t0",0.137
3,32,9,"t0",0.139
3,32,10,"t0",0.137
3,32,11,"t0",0.148
3,32,12,"t0",0.141
4,0,1,"t0",1.334
4,0,2,"t0",1.31
4,0,3,"t0",1.259
4,0,4,"t0",1.068
4,0,5,"t0",0.955
4,0,6,"t0",0.675
4,0,7,"t0",0.781
4,0,8,"t0",0.761
4,0,9,"t0",0.79
4,0,10,"t0",0.643
4,0,11,"t0",0.879
4,0,12,"t0",0.619
4,1,1,"t0",0.154
4,1,2,"t0",0.176
4,1,3,"t0",0.15
4,1,4,"t0",0.15
4,1,5,"t0",0.147
4,1,6,"t0",0.143
4,1,7,"t0",0.141
4,1,8,"t0",0.142
4,1,9,"t0",0.149
4,1,10,"t0",0.14
4,1,11,"t0",0.143
4,1,12,"t0",0.162
4,8,1,"t0",0.133
4,8,2,"t0",0.151
4,8,3,"t0",0.133
4,8,4,"t0",0.132
4,8,5,"t0",0.131
4,8,6,"t0",0.13
4,8,7,"t0",0.136
4,8,8,"t0",0.129
4,8,9,"t0",0.139
4,8,10,"t0",0.141
4,8,11,"t0",0.13
4,8,12,"t0",0.142
4,32,1,"t0",0.136
4,32,2,"t0",0.144
4,32,3,"t0",0.129
4,32,4,"t0",0.133
4,32,5,"t0",0.128
4,32,6,"t0",0.131
4,32,7,"t0",0.127
4,32,8,"t0",0.127
4,32,9,"t0",0.131
4,32,10,"t0",0.131
4,32,11,"t0",0.131
4,32,12,"t0",0.133
5,0,1,"t0",1.827
5,0,2,"t0",1.794
5,0,3,"t0",1.751
5,0,4,"t0",1.721
5,0,5,"t0",1.748
5,0,6,"t0",1.512
5,0,7,"t0",1.41
5,0,8,"t0",1.549
5,0,9,"t0",1.147
5,0,10,"t0",0.905
5,0,11,"t0",1.199
5,0,12,"t0",1.539
5,1,1,"t0",1.724
5,1,2,"t0",1.637
5,1,3,"t0",1.502
5,1,4,"t0",1.569
5,1,5,"t0",1.479
5,1,6,"t0",1.38
5,1,7,"t0",1.43
5,1,8,"t0",1.233
5,1,9,"t0",1.193
5,1,10,"t0",1.014
5,1,11,"t0",0.904
5,1,12,"t0",1.131
5,8,1,"t0",0.824
5,8,2,"t0",0.715
5,8,3,"t0",0.576
5,8,4,"t0",0.656
5,8,5,"t0",0.578
5,8,6,"t0",0.494
5,8,7,"t0",0.607
5,8,8,"t0",0.654
5,8,9,"t0",0.487
5,8,10,"t0",0.604
5,8,11,"t0",0.619
5,8,12,"t0",0.762
5,32,1,"t0",0.583
5,32,2,"t0",0.59
5,32,3,"t0",0.286
5,32,4,"t0",0.417
5,32,5,"t0",0.409
5,32,6,"t0",0.364
5,32,7,"t0",0.361
5,32,8,"t0",0.459
5,32,9,"t0",0.538
5,32,10,"t0",0.588
5,32,11,"t0",0.534
5,32,12,"t0",0.68
6,0,1,"t0",1.713
6,0,2,"t0",1.76
6,0,3,"t0",1.763
6,0,4,"t0",1.794
6,0,5,"t0",1.741
6,0,6,"t0",1.746
6,0,7,"t0",1.739
6,0,8,"t0",1.768
6,0,9,"t0",1.766
6,0,10,"t0",1.703
6,0,11,"t0",1.738
6,0,12,"t0",1.741
6,1,1,"t0",0.826
6,1,2,"t0",0.628
6,1,3,"t0",0.784
6,1,4,"t0",1.583
6,1,5,"t0",0.447
6,1,6,"t0",1.448
6,1,7,"t0",1.054
6,1,8,"t0",1.276
6,1,9,"t0",1.415
6,1,10,"t0",1.439
6,1,11,"t0",1.285
6,1,12,"t0",0.312
6,8,1,"t0",0.145
6,8,2,"t0",0.15
6,8,3,"t0",0.15
6,8,4,"t0",0.15
6,8,5,"t0",0.149
6,8,6,"t0",0.174
6,8,7,"t0",0.155
6,8,8,"t0",0.131
6,8,9,"t0",0.149
6,8,10,"t0",0.158
6,8,11,"t0",0.148
6,8,12,"t0",0.176
6,32,1,"t0",0.145
6,32,2,"t0",0.144
6,32,3,"t0",0.136
6,32,4,"t0",0.136
6,32,5,"t0",0.126
6,32,6,"t0",0.134
6,32,7,"t0",0.129
6,32,8,"t0",0.13
6,32,9,"t0",0.162
6,32,10,"t0",0.171
6,32,11,"t0",0.176
6,32,12,"t0",0.175
7,0,1,"t0",1.806
7,0,2,"t0",1.777
7,0,3,"t0",1.768
7,0,4,"t0",1.839
7,0,5,"t0",1.74
7,0,6,"t0",1.732
7,0,7,"t0",1.709
7,0,8,"t0",1.694
7,0,9,"t0",1.806
7,0,10,"t0",1.672
7,0,11,"t0",1.71
7,0,12,"t0",1.511
7,1,1,"t0",0.617
7,1,2,"t0",1.028
7,1,3,"t0",0.683
7,1,4,"t0",1.125
7,1,5,"t0",0.894
7,1,6,"t0",0.688
7,1,7,"t0",0.72
7,1,8,"t0",0.586
7,1,9,"t0",0.687
7,1,10,"t0",0.351
7,1,11,"t0",0.32
7,1,12,"t0",0.313
7,8,1,"t0",0.133
7,8,2,"t0",0.151
7,8,3,"t0",0.149
7,8,4,"t0",0.271
7,8,5,"t0",0.149
7,8,6,"t0",0.175
7,8,7,"t0",0.153
7,8,8,"t0",0.133
7,8,9,"t0",0.171
7,8,10,"t0",0.137
7,8,11,"t0",0.145
7,8,12,"t0",0.135
7,32,1,"t0",0.144
7,32,2,"t0",0.14
7,32,3,"t0",0.133
7,32,4,"t0",0.192
7,32,5,"t0",0.121
7,32,6,"t0",0.131
7,32,7,"t0",0.127
7,32,8,"t0",0.126
7,32,9,"t0",0.167
7,32,10,"t0",0.139
7,32,11,"t0",0.138
7,32,12,"t0",0.142
8,0,1,"t0",1.702
8,0,2,"t0",1.794
8,0,3,"t0",1.821
8,0,4,"t0",1.673
8,0,5,"t0",1.703
8,0,6,"t0",1.613
8,0,7,"t0",1.195
