"line","enviro","col","gen","data"
1,0,1,"t0",1.863
1,0,2,"t0",1.861
1,0,3,"t0",1.86
1,0,4,"t0",1.855
1,0,5,"t0",1.861
1,0,6,"t0",1.86
1,0,7,"t0",1.861
1,0,8,"t0",1.853
1,0,9,"t0",1.861
1,0,10,"t0",1.825
1,0,11,"t0",1.84
1,0,12,"t0",1.836
1,1,1,"t0",1.843
1,1,2,"t0",1.845
1,1,3,"t0",1.863
1,1,4,"t0",1.847
1,1,5,"t0",1.874
1,1,6,"t0",1.878
1,1,7,"t0",1.853
1,1,8,"t0",1.848
1,1,9,"t0",1.856
1,1,10,"t0",1.821
1,1,11,"t0",1.842
1,1,12,"t0",1.815
1,8,1,"t0",0.399
1,8,2,"t0",0.436
1,8,3,"t0",0.442
1,8,4,"t0",0.464
1,8,5,"t0",0.441
1,8,6,"t0",0.496
1,8,7,"t0",0.466
1,8,8,"t0",0.422
1,8,9,"t0",0.591
1,8,10,"t0",0.553
1,8,11,"t0",0.494
1,8,12,"t0",0.379
1,32,1,"t0",0.349
1,32,2,"t0",0.425
1,32,3,"t0",0.436
1,32,4,"t0",0.426
1,32,5,"t0",0.369
1,32,6,"t0",0.435
1,32,7,"t0",0.333
1,32,8,"t0",0.339
1,32,9,"t0",0.517
1,32,10,"t0",0.5
1,32,11,"t0",0.482
1,32,12,"t0",0.427
2,0,1,"t0",1.902
2,0,2,"t0",1.884
2,0,3,"t0",1.874
2,0,4,"t0",1.868
2,0,5,"t0",1.866
2,0,6,"t0",1.86
2,0,7,"t0",1.843
2,0,8,"t0",1.858
2,0,9,"t0",1.854
2,0,10,"t0",1.834
2,0,11,"t0",1.773
2,0,12,"t0",1.631
2,1,1,"t0",1.751
2,1,2,"t0",1.66
2,1,3,"t0",1.664
2,1,4,"t0",1.646
2,1,5,"t0",1.664
2,1,6,"t0",1.57
2,1,7,"t0",1.547
2,1,8,"t0",1.656
2,1,9,"t0",1.343
2,1,10,"t0",1.132
2,1,11,"t0",1.308
2,1,12,"t0",1.281
2,8,1,"t0",0.221
2,8,2,"t0",0.268
2,8,3,"t0",0.231
2,8,4,"t0",0.282
2,8,5,"t0",0.257
2,8,6,"t0",0.238
2,8,7,"t0",0.212
2,8,8,"t0",0.247
2,8,9,"t0",0.252
2,8,10,"t0",0.243
2,8,11,"t0",0.244
2,8,12,"t0",0.241
2,32,1,"t0",0.201
2,32,2,"t0",0.22
2,32,3,"t0",0.24
2,32,4,"t0",0.189
2,32,5,"t0",0.186
2,32,6,"t0",0.149
2,32,7,"t0",0.154
2,32,8,"t0",0.186
2,32,9,"t0",0.232
2,32,10,"t0",0.226
2,32,11,"t0",0.232
2,32,12,"t0",0.284
3,0,1,"t0",1.9
3,0,2,"t0",1.906
3,0,3,"t0",1.889
3,0,4,"t0",1.876
3,0,5,"t0",1.881
3,0,6,"t0",1.876
3,0,7,"t0",1.854
3,0,8,"t0",1.852
3,0,9,"t0",1.847
3,0,10,"t0",1.792
3,0,11,"t0",1.791
3,0,12,"t0",1.667
3,1,1,"t0",0.445
3,1,2,"t0",0.368
3,1,3,"t0",0.45
3,1,4,"t0",0.366
3,1,5,"t0",0.544
3,1,6,"t0",0.594
3,1,7,"t0",0.346
3,1,8,"t0",0.436
3,1,9,"t0",0.38
3,1,10,"t0",0.471
3,1,11,"t0",0.472
3,1,12,"t0",0.279
3,8,1,"t0",0.556
3,8,2,"t0",0.436
3,8,3,"t0",0.424
3,8,4,"t0",0.341
3,8,5,"t0",0.484
3,8,6,"t0",0.367
3,8,7,"t0",0.275
3,8,8,"t0",0.296
3,8,9,"t0",0.286
3,8,10,"t0",0.166
3,8,11,"t0",0.257
3,8,12,"t0",0.304
3,32,1,"t0",0.465
3,32,2,"t0",0.43
3,32,3,"t0",0.397
3,32,4,"t0",0.359
3,32,5,"t0",0.417
3,32,6,"t0",0.371
3,32,7,"t0",0.327
3,32,8,"t0",0.337
3,32,9,"t0",0.239
