"line","enviro","col","gen","data"
1,0,1,"t0",1.78
1,0,2,"t0",1.759
1,0,3,"t0",1.758
1,0,4,"t0",1.785
1,0,5,"t0",1.73
1,0,6,"t0",1.74
1,0,7,"t0",1.733
1,0,8,"t0",1.777
1,0,9,"t0",1.727
1,0,10,"t0",1.719
1,0,11,"t0",1.745
1,0,12,"t0",1.72
1,1,1,"t0",1.796
1,1,2,"t0",1.767
1,1,3,"t0",1.766
1,1,4,"t0",1.807
1,1,5,"t0",1.76
1,1,6,"t0",1.769
1,1,7,"t0",1.762
1,1,8,"t0",1.81
1,1,9,"t0",1.779
1,1,10,"t0",1.758
1,1,11,"t0",1.762
1,1,12,"t0",1.752
1,0.5,1,"t0",1.767
1,0.5,2,"t0",1.748
1,0.5,3,"t0",1.784
1,0.5,4,"t0",1.745
1,0.5,5,"t0",1.728
1,0.5,6,"t0",1.736
1,0.5,7,"t0",1.749
1,0.5,8,"t0",1.756
1,0.5,9,"t0",1.746
1,0.5,10,"t0",1.729
1,0.5,11,"t0",1.739
1,0.5,12,"t0",1.748
1,4,1,"t0",1.663
1,4,2,"t0",1.676
1,4,3,"t0",1.66
1,4,4,"t0",1.698
1,4,5,"t0",1.627
1,4,6,"t0",1.603
1,4,7,"t0",1.652
1,4,8,"t0",1.631
1,4,9,"t0",1.632
1,4,10,"t0",1.651
1,4,11,"t0",1.687
1,4,12,"t0",1.612
2,0,1,"t0",1.758
2,0,2,"t0",1.712
2,0,3,"t0",1.715
2,0,4,"t0",1.755
2,0,5,"t0",1.707
2,0,6,"t0",1.701
2,0,7,"t0",1.708
2,0,8,"t0",1.754
2,0,9,"t0",1.698
2,0,10,"t0",1.695
2,0,11,"t0",1.727
2,0,12,"t0",1.726
2,1,1,"t0",1.744
2,1,2,"t0",1.734
2,1,3,"t0",1.727
2,1,4,"t0",1.772
2,1,5,"t0",1.739
2,1,6,"t0",1.743
2,1,7,"t0",1.733
2,1,8,"t0",1.777
2,1,9,"t0",1.755
2,1,10,"t0",1.729
2,1,11,"t0",1.766
2,1,12,"t0",1.742
2,0.5,1,"t0",1.69
2,0.5,2,"t0",1.669
2,0.5,3,"t0",1.682
2,0.5,4,"t0",1.693
2,0.5,5,"t0",1.674
2,0.5,6,"t0",1.681
2,0.5,7,"t0",1.687
2,0.5,8,"t0",1.681
2,0.5,9,"t0",1.689
2,0.5,10,"t0",1.684
2,0.5,11,"t0",1.668
2,0.5,12,"t0",1.683
2,4,1,"t0",0.223
2,4,2,"t0",0.221
2,4,3,"t0",0.174
2,4,4,"t0",0.17
2,4,5,"t0",0.165
2,4,6,"t0",0.204
2,4,7,"t0",0.154
2,4,8,"t0",0.124
2,4,9,"t0",0.145
2,4,10,"t0",0.141
2,4,11,"t0",0.122
2,4,12,"t0",0.106
3,0,1,"t0",1.778
3,0,2,"t0",1.734
3,0,3,"t0",1.736
3,0,4,"t0",1.771
3,0,5,"t0",1.726
3,0,6,"t0",1.723
3,0,7,"t0",1.725
3,0,8,"t0",1.776
3,0,9,"t0",1.708
3,0,10,"t0",1.71
3,0,11,"t0",1.742
3,0,12,"t0",1.746
3,1,1,"t0",1.298
3,1,2,"t0",1.168
3,1,3,"t0",1.224
3,1,4,"t0",1.157
3,1,5,"t0",1.025
3,1,6,"t0",1.325
3,1,7,"t0",1.089
3,1,8,"t0",1.178
3,1,9,"t0",1.186
3,1,10,"t0",1.036
3,1,11,"t0",1.13
3,1,12,"t0",0.793
3,0.5,1,"t0",0.77
3,0.5,2,"t0",0.477
3,0.5,3,"t0",0.625
3,0.5,4,"t0",0.561
3,0.5,5,"t0",0.486
3,0.5,6,"t0",0.507
3,0.5,7,"t0",0.438
3,0.5,8,"t0",0.61
3,0.5,9,"t0",0.656
3,0.5,10,"t0",0.464
3,0.5,11,"t0",0.404
3,0.5,12,"t0",0.269
3,4,1,"t0",0.315
3,4,2,"t0",0.205
3,4,3,"t0",0.219
3,4,4,"t0",0.19
3,4,5,"t0",0.171
3,4,6,"t0",0.209
3,4,7,"t0",0.189
3,4,8,"t0",0.205
3,4,9,"t0",0.21
3,4,10,"t0",0.178
3,4,11,"t0",0.175
3,4,12,"t0",0.155
4,0,1,"t0",1.762
4,0,2,"t0",1.747
4,0,3,"t0",1.752
4,0,4,"t0",1.784
4,0,5,"t0",1.768
4,0,6,"t0",1.732
4,0,7,"t0",1.745
4,0,8,"t0",1.761
4,0,9,"t0",1.759
4,0,10,"t0",1.736
4,0,11,"t0",1.772
4,0,12,"t0",1.752
4,1,1,"t0",1.756
4,1,2,"t0",1.794
4,1,3,"t0",1.771
4,1,4,"t0",1.802
4,1,5,"t0",1.774
4,1,6,"t0",1.763
4,1,7,"t0",1.773
4,1,8,"t0",1.81
4,1,9,"t0",1.756
4,1,10,"t0",1.774
4,1,11,"t0",1.772
4,1,12,"t0",1.78
4,0.5,1,"t0",1.754
4,0.5,2,"t0",1.735
4,0.5,3,"t0",1.724
4,0.5,4,"t0",1.727
4,0.5,5,"t0",1.719
4,0.5,6,"t0",1.735
4,0.5,7,"t0",1.749
4,0.5,8,"t0",1.767
4,0.5,9,"t0",1.748
4,0.5,10,"t0",1.733
4,0.5,11,"t0",1.761
4,0.5,12,"t0",1.736
4,4,1,"t0",0.252
4,4,2,"t0",0.254
4,4,3,"t0",0.291
4,4,4,"t0",0.226
4,4,5,"t0",0.125
4,4,6,"t0",0.19
4,4,7,"t0",0.224
4,4,8,"t0",0.173
4,4,9,"t0",0.245
4,4,10,"t0",0.138
4,4,11,"t0",0.155
4,4,12,"t0",0.21
5,0,1,"t0",1.739
5,0,2,"t0",1.726
5,0,3,"t0",1.713
5,0,4,"t0",1.738
5,0,5,"t0",1.702
5,0,6,"t0",1.698
5,0,7,"t0",1.689
5,0,8,"t0",1.741
5,0,9,"t0",1.693
5,0,10,"t0",1.683
5,0,11,"t0",1.706
5,0,12,"t0",1.689
5,1,1,"t0",1.728
5,1,2,"t0",1.706
5,1,3,"t0",1.7
5,1,4,"t0",1.728
5,1,5,"t0",1.698
5,1,6,"t0",1.712
5,1,7,"t0",1.715
5,1,8,"t0",1.735
5,1,9,"t0",1.719
5,1,10,"t0",1.696
5,1,11,"t0",1.72
5,1,12,"t0",1.685
5,0.5,1,"t0",1.669
5,0.5,2,"t0",1.648
5,0.5,3,"t0",1.665
5,0.5,4,"t0",1.645
5,0.5,5,"t0",1.642
5,0.5,6,"t0",1.647
5,0.5,7,"t0",1.665
5,0.5,8,"t0",1.659
5,0.5,9,"t0",1.673
5,0.5,10,"t0",1.658
5,0.5,11,"t0",1.676
5,0.5,12,"t0",1.647
5,4,1,"t0",1.504
5,4,2,"t0",1.533
5,4,3,"t0",1.533
5,4,4,"t0",1.568
5,4,5,"t0",1.537
5,4,6,"t0",1.495
5,4,7,"t0",1.543
5,4,8,"t0",1.538
5,4,9,"t0",1.5
5,4,10,"t0",1.436
5,4,11,"t0",1.476
5,4,12,"t0",1.498
6,0,1,"t0",1.74
6,0,2,"t0",1.713
6,0,3,"t0",1.706
6,0,4,"t0",1.753
6,0,5,"t0",1.692
6,0,6,"t0",1.714
6,0,7,"t0",1.716
6,0,8,"t0",1.76
6,0,9,"t0",1.696
6,0,10,"t0",1.695
6,0,11,"t0",1.722
6,0,12,"t0",1.742
6,1,1,"t0",1.756
6,1,2,"t0",1.74
6,1,3,"t0",1.726
6,1,4,"t0",1.758
6,1,5,"t0",1.741
6,1,6,"t0",1.749
6,1,7,"t0",1.75
6,1,8,"t0",1.78
6,1,9,"t0",1.755
6,1,10,"t0",1.73
6,1,11,"t0",1.754
6,1,12,"t0",1.746
6,0.5,1,"t0",1.706
6,0.5,2,"t0",1.688
6,0.5,3,"t0",1.704
6,0.5,4,"t0",1.687
6,0.5,5,"t0",1.688
6,0.5,6,"t0",1.687
6,0.5,7,"t0",1.703
6,0.5,8,"t0",1.703
6,0.5,9,"t0",1.703
6,0.5,10,"t0",1.692
6,0.5,11,"t0",1.707
6,0.5,12,"t0",1.705
6,4,1,"t0",0.429
6,4,2,"t0",0.46
6,4,3,"t0",0.437
6,4,4,"t0",0.415
6,4,5,"t0",0.352
6,4,6,"t0",0.344
6,4,7,"t0",0.338
6,4,8,"t0",0.334
6,4,9,"t0",0.325
6,4,10,"t0",0.265
6,4,11,"t0",0.822
6,4,12,"t0",0.323
7,0,1,"t0",1.753
7,0,2,"t0",1.726
7,0,3,"t0",1.716
7,0,4,"t0",1.722
7,0,5,"t0",1.705
7,0,6,"t0",1.692
7,0,7,"t0",1.685
7,0,8,"t0",1.746
7,0,9,"t0",1.689
7,0,10,"t0",1.668
7,0,11,"t0",1.694
7,0,12,"t0",1.698
7,1,1,"t0",1.77
7,1,2,"t0",1.747
7,1,3,"t0",1.727
7,1,4,"t0",1.76
7,1,5,"t0",1.73
7,1,6,"t0",1.749
7,1,7,"t0",1.738
7,1,8,"t0",1.773
7,1,9,"t0",1.737
7,1,10,"t0",1.713
7,1,11,"t0",1.74
7,1,12,"t0",1.732
7,0.5,1,"t0",1.694
7,0.5,2,"t0",1.68
7,0.5,3,"t0",1.69
7,0.5,4,"t0",1.659
7,0.5,5,"t0",1.688
7,0.5,6,"t0",1.679
7,0.5,7,"t0",1.677
7,0.5,8,"t0",1.693
7,0.5,9,"t0",1.683
7,0.5,10,"t0",1.672
7,0.5,11,"t0",1.697
7,0.5,12,"t0",1.667
7,4,1,"t0",0.566
7,4,2,"t0",0.42
7,4,3,"t0",0.344
7,4,4,"t0",0.555
7,4,5,"t0",0.404
7,4,6,"t0",0.333
7,4,7,"t0",0.327
7,4,8,"t0",0.246
7,4,9,"t0",0.367
7,4,10,"t0",0.364
7,4,11,"t0",0.208
7,4,12,"t0",0.351
8,0,1,"t0",1.775
8,0,2,"t0",1.735
8,0,3,"t0",1.732
8,0,4,"t0",1.762
8,0,5,"t0",1.709
8,0,6,"t0",1.727
8,0,7,"t0",1.716
8,0,8,"t0",1.762
8,0,9,"t0",1.718
8,0,10,"t0",1.712
8,0,11,"t0",1.74
8,0,12,"t0",1.749
8,1,1,"t0",1.749
8,1,2,"t0",1.739
8,1,3,"t0",1.732
8,1,4,"t0",1.758
8,1,5,"t0",1.739
8,1,6,"t0",1.752
8,1,7,"t0",1.758
8,1,8,"t0",1.775
8,1,9,"t0",1.758
8,1,10,"t0",1.732
8,1,11,"t0",1.767
8,1,12,"t0",1.743
8,0.5,1,"t0",1.699
8,0.5,2,"t0",1.707
8,0.5,3,"t0",1.683
8,0.5,4,"t0",1.671
8,0.5,5,"t0",1.694
8,0.5,6,"t0",1.686
8,0.5,7,"t0",1.702
8,0.5,8,"t0",1.684
8,0.5,9,"t0",1.701
8,0.5,10,"t0",1.682
8,0.5,11,"t0",1.725
8,0.5,12,"t0",1.709
8,4,1,"t0",0.329
8,4,2,"t0",0.353
8,4,3,"t0",0.38
8,4,4,"t0",0.274
8,4,5,"t0",0.311
8,4,6,"t0",0.245
8,4,7,"t0",0.235
8,4,8,"t0",0.274
8,4,9,"t0",0.3
8,4,10,"t0",0.285
8,4,11,"t0",0.193
8,4,12,"t0",0.233
9,0,1,"t0",1.75
9,0,2,"t0",1.73
9,0,3,"t0",1.758
9,0,4,"t0",1.767
9,0,5,"t0",1.737
9,0,6,"t0",1.749
9,0,7,"t0",1.755
9,0,8,"t0",1.788
9,0,9,"t0",1.731
9,0,10,"t0",1.734
9,0,11,"t0",1.757
9,0,12,"t0",1.741
9,1,1,"t0",0.878
9,1,2,"t0",0.499
9,1,3,"t0",0.468
9,1,4,"t0",0.683
9,1,5,"t0",0.512
9,1,6,"t0",0.62
9,1,7,"t0",0.462
9,1,8,"t0",0.564
9,1,9,"t0",0.63
9,1,10,"t0",0.531
9,1,11,"t0",0.272
9,1,12,"t0",0.392
9,4,1,"t0",0.307
9,4,2,"t0",0.137
9,4,3,"t0",0.066
9,4,4,"t0",0.12
9,4,5,"t0",0.202
9,4,6,"t0",0.25
9,4,7,"t0",0.137
9,4,8,"t0",0.25
9,4,9,"t0",0.251
9,4,10,"t0",0.167
9,4,11,"t0",0.176
9,4,12,"t0",0.09
9,1,1,"t0",0.613
9,1,2,"t0",0.457
9,1,3,"t0",0.419
9,1,4,"t0",0.496
9,1,5,"t0",0.374
9,1,6,"t0",0.423
9,1,7,"t0",0.399
9,1,8,"t0",0.402
9,1,9,"t0",0.435
9,1,10,"t0",0.444
9,1,11,"t0",0.237
9,1,12,"t0",0.375
10,0,1,"t0",1.7
10,0,2,"t0",1.686
10,0,3,"t0",1.707
10,0,4,"t0",1.718
10,0,5,"t0",1.694
10,0,6,"t0",1.685
10,0,7,"t0",1.69
10,0,8,"t0",1.718
10,0,9,"t0",1.685
10,0,10,"t0",1.676
10,0,11,"t0",1.699
10,0,12,"t0",1.692
10,1,1,"t0",1.418
10,1,2,"t0",1.363
10,1,3,"t0",1.415
10,1,4,"t0",1.458
10,1,5,"t0",1.373
10,1,6,"t0",1.428
10,1,7,"t0",1.346
10,1,8,"t0",1.403
10,1,9,"t0",1.018
10,1,10,"t0",1.287
10,1,11,"t0",1.266
10,1,12,"t0",1.393
10,4,1,"t0",1.316
10,4,2,"t0",1.265
10,4,3,"t0",1.331
10,4,4,"t0",1.142
10,4,5,"t0",1.168
10,4,6,"t0",1.268
10,4,7,"t0",1.084
10,4,8,"t0",0.777
10,4,9,"t0",0.909
10,4,10,"t0",0.9
10,4,11,"t0",0.671
10,4,12,"t0",0.926
10,1,1,"t0",1.406
10,1,2,"t0",1.4
10,1,3,"t0",1.376
10,1,4,"t0",1.444
10,1,5,"t0",1.307
10,1,6,"t0",1.351
10,1,7,"t0",1.382
10,1,8,"t0",1.37
10,1,9,"t0",1.131
10,1,10,"t0",1.265
10,1,11,"t0",1.378
10,1,12,"t0",1.292
11,0,1,"t0",1.754
11,0,2,"t0",1.725
11,0,3,"t0",1.731
11,0,4,"t0",1.741
11,0,5,"t0",1.708
11,0,6,"t0",1.736
11,0,7,"t0",1.727
11,0,8,"t0",1.743
11,0,9,"t0",1.708
11,0,10,"t0",1.712
11,0,11,"t0",1.727
11,0,12,"t0",1.713
11,1,1,"t0",0.459
11,1,2,"t0",0.544
11,1,3,"t0",0.515
11,1,4,"t0",0.487
11,1,5,"t0",0.472
11,1,6,"t0",0.499
11,1,7,"t0",0.452
11,1,8,"t0",0.447
11,1,9,"t0",0.461
11,1,10,"t0",0.446
11,1,11,"t0",0.43
11,1,12,"t0",0.446
11,4,1,"t0",0.451
11,4,2,"t0",0.467
11,4,3,"t0",0.501
11,4,4,"t0",0.447
11,4,5,"t0",0.417
11,4,6,"t0",0.408
11,4,7,"t0",0.425
11,4,8,"t0",0.394
11,4,9,"t0",0.442
11,4,10,"t0",0.396
11,4,11,"t0",0.351
11,4,12,"t0",0.449
11,1,1,"t0",0.575
11,1,2,"t0",0.627
11,1,3,"t0",0.565
11,1,4,"t0",0.576
11,1,5,"t0",0.53
11,1,6,"t0",0.548
11,1,7,"t0",0.496
11,1,8,"t0",0.483
11,1,9,"t0",0.512
11,1,10,"t0",0.497
11,1,11,"t0",0.465
11,1,12,"t0",0.527
12,0,1,"t0",1.67
12,0,2,"t0",1.629
12,0,3,"t0",1.648
12,0,4,"t0",1.651
12,0,5,"t0",1.631
12,0,6,"t0",1.64
12,0,7,"t0",1.649
12,0,8,"t0",1.652
12,0,9,"t0",1.631
12,0,10,"t0",1.624
12,0,11,"t0",1.662
12,0,12,"t0",1.61
12,1,1,"t0",1.653
12,1,2,"t0",1.694
12,1,3,"t0",1.702
