line,enviro,rep,gen,data,time
1,0,1,t0,1.718,48
1,0,2,t0,1.7225,48
1,0,3,t0,1.728,48
1,0,4,t0,1.7395,48
1,0,5,t0,1.7245,48
1,0,6,t0,1.703,48
1,0,7,t0,1.709,48
1,0,8,t0,1.725,48
1,0,9,t0,1.72,48
1,0,10,t0,1.7035,48
1,0,11,t0,1.7345,48
1,0,12,t0,1.7255,48
1,1,1,t0,1.747,48
1,1,2,t0,1.747,48
1,1,3,t0,1.745,48
1,1,4,t0,1.766,48
1,1,5,t0,1.746,48
1,1,6,t0,1.724,48
1,1,7,t0,1.743,48
1,1,8,t0,1.776,48
1,1,9,t0,1.737,48
1,1,10,t0,1.749,48
1,1,11,t0,1.74,48
1,1,12,t0,1.747,48
1,4,1,t0,1.43,48
1,4,2,t0,1.479,48
1,4,3,t0,1.491,48
1,4,4,t0,1.441,48
1,4,5,t0,1.445,48
1,4,6,t0,1.468,48
1,4,7,t0,1.512,48
1,4,8,t0,1.418,48
1,4,9,t0,1.472,48
1,4,10,t0,1.329,48
1,4,11,t0,1.422,48
1,4,12,t0,1.42,48
1,8,1,t0,0.2815,48
1,8,2,t0,0.2785,48
1,8,3,t0,0.247,48
1,8,4,t0,0.2405,48
1,8,5,t0,0.2335,48
1,8,6,t0,0.249,48
1,8,7,t0,0.192,48
1,8,8,t0,0.2145,48
1,8,9,t0,0.2385,48
1,8,10,t0,0.212,48
1,8,11,t0,0.209,48
1,8,12,t0,0.2095,48
1,32,1,t0,0.2455,48
1,32,2,t0,0.287,48
1,32,3,t0,0.2475,48
1,32,4,t0,0.225,48
1,32,5,t0,0.232,48
1,32,6,t0,0.244,48
1,32,7,t0,0.208,48
1,32,8,t0,0.1975,48
1,32,9,t0,0.2495,48
1,32,10,t0,0.207,48
1,32,11,t0,0.1805,48
1,32,12,t0,0.2145,48
2,0,1,t0,1.7315,48
2,0,2,t0,1.694,48
2,0,3,t0,1.7025,48
2,0,4,t0,1.7125,48
2,0,5,t0,1.6925,48
2,0,6,t0,1.6905,48
2,0,7,t0,1.6995,48
2,0,8,t0,1.727,48
2,0,9,t0,1.7025,48
2,0,10,t0,1.6905,48
2,0,11,t0,1.7205,48
2,0,12,t0,1.714,48
2,1,1,t0,0.385,48
2,1,2,t0,0.337,48
2,1,3,t0,0.357,48
2,1,4,t0,0.384,48
2,1,5,t0,0.344,48
2,1,6,t0,0.338,48
2,1,7,t0,0.38,48
2,1,8,t0,0.292,48
2,1,9,t0,0.308,48
2,1,10,t0,0.355,48
2,1,11,t0,0.263,48
2,1,12,t0,0.277,48
2,4,1,t0,0.185,48
2,4,2,t0,0.137,48
2,4,3,t0,0.175,48
2,4,4,t0,0.214,48
2,4,5,t0,0.194,48
2,4,6,t0,0.181,48
2,4,7,t0,0.206,48
2,4,8,t0,0.137,48
2,4,9,t0,0.142,48
2,4,10,t0,0.179,48
2,4,11,t0,0.125,48
2,4,12,t0,0.108,48
2,8,1,t0,0.1615,48
2,8,2,t0,0.138,48
2,8,3,t0,0.14,48
2,8,4,t0,0.1765,48
2,8,5,t0,0.1675,48
2,8,6,t0,0.149,48
