Line,t0 G1.1,t0b G1.1,t3 G1.1,t3 G1.2,t3 weird,t5 G1.1,t5 G1.2,t5 weird,t8 G1.1,t8 G1.2,weird,t10 G1.1,t10 G1.2,t10 G1.3,t10 weird,t10 WD,t10b G1.1,t10b G1.2,,
A01-A01,153,144,139,,,229,,,164,,,194,,,,0,162,,,
A01-A02,150,142,133,,,236,,,173,,,179,,,,0,164,,,
A01-A03,155,150,148,,,241,,,170,,,190,,,,0,161,,,
A01-A04,147,145,132,,,249,,,137,,,174,,,,1,168,,,
A01-A05,149,145,140,,,248,,x,150,,,175,,,,1,154,,,
A01-A06,147,142,129,,,248,,,138,,,161,,,,1,159,,,
A01-A07,137,159,134,,,225,,x,152,,,183,,,,1,170,,,
A01-A08,154,149,145,,,194,,,145,,,175,,,,1,170,,,
A01-A09,151,159,152,,,244,,,149,,,171,,,,1,145,166,,
A01-A10,157,159,144,,,249,,,144,,,177,,,,1,156,,,
A01-A11,150,175,141,,,240,,,146,,,183,,,,1,158,,,
A01-A12,171,166,125,,,204,,,147,,,186,,,,0,170,,,
A02-B01,174,172,134,,,276,,,179,,,225,,,broad,0,189,,,
A02-B02,165,168,137,,,261,,,149,,,203,,,,0,167,332,,
A02-B03,175,167,150,,,217,283,,163,,,180,,,,1,191,,,
A02-B04,174,172,136,,,217,269,,160,,,191,390,,,1,192,,,
A02-B05,167,171,140,,,270,,x,163,,,220,,,broad,0,201,228,,
A02-B06,164,178,216,,,363,,,216,,,270,,,,1,251,,,
A02-B07,158,177,142,,,,,x,179,,,223,,,messy,0,,,,
A02-B08,162,178,145,,,288,,,214,,,267,,,messy,1,213,275,,
A02-B09,164,181,216,,,332,,,204,,,240,,,,1,216,,,
A02-B10,140,186,123,265,,210,,x,155,,,354,179,,,1,164,337,,
A02-B11,137,184,130,,,245,,x,165,,,201,,,messy s+,0,200,326,,
A02-B12,175,185,145,,,247,,x,156,,,199,,,,1,364,176,,
A03-C01,163,177,148,,,282,349,,169,,,220,,,,1,197,237,,
A03-C02,164,175,140,,no g2,,,x,155,,,201,,,no g2,0,197,,,
A03-C03,157,178,181,,,,,x,207,,,251,,,broad,0,200,,,
A03-C04,166,177,148,,no g2,,,x,154,245,,288,,,broad,0,348,181,,
A03-C05,155,177,174,,,,,x,185,,,221,,,broad,1,428,219,,
A03-C06,156,172,150,,,,,x,185,248,,231,,,no g2,0,221,,,
A03-C07,150,172,121,,,,,x,157,223,x,157,250,,no g2,0,201,398,,
A03-C08,156,172,153,,,94,,x,168,,x,212,,,no clear peak,-1,212,393,,
A03-C09,165,176,164,,,,,x,147,214,x,291,,,broad,1,209,278,,
A03-C10,148,172,180,,,,,x,197,,,215,,,no g2,0,196,,,
