strain,Strain Name,,clade,MTL,zygosity,other
1,L26*,,1,a/a,hom,", vaginitis, vagina, USA"
2,P87*,,4,a/a,hom,", HIV, oral, South Africa"
3,GC75*,,4,_/_,hom,", healthy, oral, South Africa"
4,P78048*,,1,_/_,hom,", bloodstream, Canada"
5,P57072*,,2,_/_,hom,", bloodstream, USA"
6,P34048*,,3,a/_,het,", bloodstream, Turkey"
7,P37037*,,1,a/_,het,", healthy, oral, USA"
8,P75016*,,4,a/_,het,", bloodstream, Israel"
9,P75063*,,4,a/_,het,", bloodstream, France"
10,P76055*,,2,a/_,het,", bloodstream, USA"
11,P78042*,,3,a/_,het,", bloodstream, USA"
12,T101¾,,3,a/a,hom,", oropharynx, Canada"
13,OKP90š,,2,a/a,hom,", healthy, oral, South Africa"
14,AM2003.089¾,,2,a/_,het,", oropharynx, UK"
15,AM2003.0165¾,,2,_/_,hom,", bloodstream, UK"
16,AM2003.0069¾,,3,a/_,het,", vagina, UK"
17,SC5314_,,1,a/_,het,", bloodstream, USA"
18,FH1||,,3,a/_,het,", marrow transplant, rectal, USA"
19,DSY294#,,11,a/_,het,", HIV, oral, France"
20,T118**,,1,a/_,het,", HIV, oral, Canada"
