"line","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","change24","change48","change72","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10"
"1",4,4,4,4,4,4,0,0,0,0.0448479889502151,0.127852150098665,0.213122051159705,0.0328508189515833,0.0911843604513676,0.215496061061122
"2",1,1,1,1,1,1,0,0,0,0.0632883887244154,0.0712718597303718,0.082108815526225,0.0967214333158352,0.0529573604088453,0.0637553094921878
"3",0.0625,0.0625,0.0625,1,512,512,0.9375,511.9375,511.9375,0.0979323586093649,0.147579147462599,0.232821772278514,0.331073946681552,0.592533536484757,0.730015536031249
"4",0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.0659032040107644,0.108284165222812,0.212329863191479,0.0923159142812086,0.0775877158281403,0.153565408742414
"5",4,512,512,8,512,512,2,0,0,0.291509191312477,0.864334181073212,0.925442932630461,0.408451327433628,0.817960807425962,0.907564296520424
"6",1,1,1,1,1,1,0,0,0,0.0650926152206605,0.132787864376119,0.235755149990989,0.12720860052143,0.177128863357011,0.234210162494128
"7",1,1,1,1,1,4,0,0,3,0.0548640192881051,0.1437123218811,0.32647457248427,0.103859560081187,0.159256029073855,0.36044101743628
"8",0.5,1,1,1,2.5,4,0.5,1.75,3,0.109940116483019,0.184212091038065,0.308452739316532,0.115608844161883,0.132127582012456,0.21554736939437
"9",0.0625,0.0625,0.0625,0.0625,0.53125,1,0,0.46875,0.9375,0.0969333829374639,0.143540126260545,0.204039847521078,0.128628835617627,0.161540281757596,0.281538964366229
"10",1,512,512,1,1,512,0,0,0,0.120187756999766,0.669076703249545,0.829357831095255,0.0923083203916096,0.56904943402861,0.79876519824579
"11",0.0625,0.0625,0.0625,0.0625,2.5,20,0,2.4375,19.9375,0.111335910244897,0.226631355582705,0.269998068044721,0.132691269859169,0.466324740835497,0.617633620802688
"12",32,32,32,512,32,32,480,0,0,0.257835335131143,0.257976020438434,0.392370500266611,0.473908918406072,0.199200639488409,0.27081674892533
"13",0.0625,0.0625,1,1,1,1,0.9375,0.9375,0,0.0398773632079909,0.12275282751036,0.364617500438646,0.0471362734377209,0.110505963066114,0.286429326098958
"14",0.0625,1,1,1,1,1,0.9375,0,0,0.136011326787966,0.395416625519576,0.561482877094349,0.11758085517248,0.168040424913745,0.278062769249153
"15",0.0625,0.0625,1,1,1,1,0.9375,0.9375,0,0.0476322008095756,0.177636935778221,0.398355332331642,0.0428141348336788,0.104698736944615,0.245012292010019
"16",0.0625,1,1,1,1,1,0.9375,0,0,0.125451357711663,0.321868118352494,0.491469884054184,0.0615873116494059,0.150885158773192,0.281554582262296
"17",0.0625,0.0625,0.0625,1,1,1,0.9375,0.9375,0.9375,0.0433259851345935,0.0898476464127732,0.190075301150367,0.123256133633543,0.0784631302999401,0.171742278021406
"18",4,4,512,4,4,512,0,0,0,0.114835895936208,0.493491948126145,0.706408626241869,0.0575176692965155,0.448544223576508,0.684723334682154
"19",0.0625,1,1,1,2.5,4,0.9375,1.96875,3,0.120167104169659,0.270841369546272,0.411448172917526,0.107209798983696,0.257133311954589,0.441330239713143
"20",4,4,4,1,1,2.5,-3,-3,-3,0.0665306780118825,0.218591755903986,0.413519422517732,0.0796741983548929,0.238168380960368,0.481165133353044
