"","strain","clade","MTL","zygosity","line","rep","enviro","all0.1","all0.1.sd","all0.1.se","place","col","place72","col72","col72a","all0.1.72","all0.1.72.sd","all0.1.72.se","all10.1","all10.1.sd","all10.1.se","all10.1.72","all10.1.72.sd","all10.1.72.se","t0.G1.1","t10.G1.1","t10.G1.2","t10.G1.3","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","line.1","rep.1","change24","change48","change72","place.1","place72.1","col.1","col72.1","cola","col72a.1","lr","pch","delta1.24","delta1.72","change24.SMG","change48.SMG","change72.SMG","place72_MIC"
"1_13","1","1","a/a","hom","1","1","1",1.643625,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.762375,NA,NA,1.709,0.128693434175952,0.128693434175952,1.8465,0.0728319984622144,0.0728319984622144,148.5,209.655063291139,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.229089075108628,0.296032728272827,0.408102493074792,"1","1",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-1",21,0.065375,0.0841249999999998,0.0183375642457151,-0.00664168286600453,-0.0229126803356124,16
"1_2","1","1","a/a","hom","1","2","1",1.608625,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.755875,NA,NA,1.6555,0.122329473145273,0.122329473145273,1.828,0.05939696961967,0.05939696961967,146,193.444620253165,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.227138052530429,0.26842769058296,0.366635820045558,"1","2",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-2",21,0.046875,0.072125,0.0163865416675161,-0.0342467205558722,-0.0643793533648465,16
"1_3","1","1","a/a","hom","1","3","1",1.601625,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.764875,NA,NA,1.672,0.182433549546129,0.182433549546129,1.822,0.0523259018078046,0.0523259018078046,152.5,205.332278481013,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.211605949197861,0.261961387800783,0.37100311262026,"1","3",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-3",21,0.0703750000000001,0.0571250000000001,0.000854438334947888,-0.0407130233380484,-0.0600120607901443,16
"1_4","1","1","a/a","hom","1","4","1",1.600375,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.774125,NA,NA,1.6815,0.0855599205235723,0.0855599205235723,1.841,0.0565685424949239,0.0565685424949239,146,188.041139240506,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.207335096453018,0.292897570403092,0.438229571984436,"1","4",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-4",21,0.0811250000000001,0.066875,-0.00341641440989504,-0.00977684073573959,0.00721439857403122,16
"1_5","1","1","a/a","hom","1","5","1",1.5625,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.764875,NA,NA,1.6405,0.137885822331377,0.137885822331377,1.8205,0.064346717087976,0.064346717087976,147,189.121835443038,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.208906984553391,0.274013536866359,0.383379280325014,"1","5",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-5",21,0.0779999999999998,0.055625,-0.00184452630952162,-0.0286608742724723,-0.0476358930853902,16
"1_6","1","1","a/a","hom","1","6","1",1.515375,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.758125,NA,NA,1.619,0.0806101730552663,0.0806101730552663,1.811,0.0537401153701777,0.0537401153701777,144.5,173.992088607595,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.232521186440678,0.290135327635328,0.387607449856733,"1","6",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-6",21,0.103625,0.052875,0.0217696755777649,-0.0125390835035041,-0.0434077235536712,16
"1_7","1","1","a/a","hom","1","7","1",1.539125,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.752125,NA,NA,1.635,0.131521861300698,0.131521861300698,1.818,0.0466690475583122,0.0466690475583122,148,197.767405063291,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.20035046728972,0.283382684715172,0.423539886039886,"1","7",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-7",21,0.0958749999999999,0.0658750000000001,-0.0104010435731935,-0.0192917264236598,-0.00747528737051856,16
"1_8","1","1","a/a","hom","1","8","1",1.551,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.778375,NA,NA,1.692,0.113137084989848,0.113137084989848,1.841,0.029698484809835,0.029698484809835,151.5,189.121835443038,NA,NA,1,4,4,1,1,4,0.210751510862913,0.302674411138832,0.431015173410405,0.192856017643352,0.264642459654981,0.391123391158366,"1","8",0,-3,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-8",21,0.141,0.0626250000000002,-0.0178954932195609,-0.0380319514838513,-0.0398917822520387,16
"1_9","1","1","a/a","hom","1","9","1",1.564125,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.757875,NA,NA,1.6495,0.0742462120245875,0.0742462120245875,1.8385,0.0516187950266179,0.0516187950266179,155,184.799050632911,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.199818721160185,0.253529663434113,0.365962984384037,"1","9",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-9",21,0.085375,0.0806249999999999,-0.0109327897027285,-0.0491447477047188,-0.0650521890263676,16
"1_10","1","1","a/a","hom","1","10","1",1.538875,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.742,NA,NA,1.644,0.076367532368147,0.076367532368147,1.796,0.0579827560572969,0.0579827560572969,158,191.283227848101,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.188470245795602,0.284331995412844,0.433202214452214,"1","10",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-10",21,0.105125,0.0539999999999998,-0.0222812650673116,-0.0183424157259878,0.00218704104180983,16
